ticker,date,category,agreement_score,directional_agreement,thesis_similarity,avg_target_price,num_models,calls_json
AAPL,2022-09-30,large_cap,0.5748,0.75,0.3121,129.38,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 118.52, ""thesis"": ""Persistent negative price trajectory (-12.5%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 156.7, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 120.3, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 122.0, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
MSFT,2022-09-30,large_cap,0.5752,0.75,0.313,215.48,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 194.2, ""thesis"": ""Persistent negative price trajectory (-10.6%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 262.69, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 202.17, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 202.85, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
NVDA,2022-09-30,large_cap,0.5744,0.75,0.311,11.52,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 10.44, ""thesis"": ""Persistent negative price trajectory (-12.9%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 13.92, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 10.84, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 10.89, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
AMZN,2022-09-30,large_cap,0.5759,0.75,0.3146,107.51,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 98.9, ""thesis"": ""Persistent negative price trajectory (-11.6%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 129.95, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 99.5, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 101.7, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
GOOGL,2022-09-30,large_cap,0.5664,0.75,0.291,86.39,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 81.79, ""thesis"": ""Persistent negative price trajectory (-12.8%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""hold"", ""target_price"": 93.5, ""thesis"": ""Fair valuation reflects balanced risk-reward relative to sector peers.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 84.99, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 85.28, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
META,2022-09-30,large_cap,0.5754,0.75,0.3134,127.6,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 113.09, ""thesis"": ""Persistent negative price trajectory (-17.9%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 157.1, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 119.17, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 121.05, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
BRK-B,2022-09-30,large_cap,0.409,0.5,0.2725,254.15,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 233.91, ""thesis"": ""Persistent negative price trajectory (-5.5%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""hold"", ""target_price"": 264.03, ""thesis"": ""Fair valuation reflects balanced risk-reward relative to sector peers.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""hold"", ""target_price"": 278.34, ""thesis"": ""Defensive operational balance sheet balanced by limited immediate re-rating catalysts.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 240.32, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
JPM,2022-09-30,large_cap,0.4042,0.5,0.2606,94.37,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 82.18, ""thesis"": ""Persistent negative price trajectory (-8.7%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 110.88, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""hold"", ""target_price"": 99.06, ""thesis"": ""Defensive operational balance sheet balanced by limited immediate re-rating catalysts.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 85.36, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
V,2022-09-30,large_cap,0.5746,0.75,0.3115,163.08,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""sell"", ""target_price"": 147.45, ""thesis"": ""Persistent negative price trajectory (-11.2%) indicates structural distribution headwinds.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""buy"", ""target_price"": 198.44, ""thesis"": ""Recent price softening provides an attractive risk-adjusted entry point against fundamental book value.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""sell"", ""target_price"": 151.42, ""thesis"": ""Heightened earnings volatility and cyclical margin pressures elevate downside risk.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""sell"", ""target_price"": 155.03, ""thesis"": ""Macro headwinds and declining momentum justify a defensive posture.""}]"
LLY,2022-09-30,large_cap,0.4023,0.5,0.2556,335.79,4,"[{""model"": ""Simulated-AI-Momentum-Quant"", ""call"": ""buy"", ""target_price"": 357.49, ""thesis"": ""Strong upward medium-term momentum (+4.6%) signals continued institutional accumulation.""}, {""model"": ""Simulated-AI-Fundamental-Value"", ""call"": ""hold"", ""target_price"": 318.26, ""thesis"": ""Fair valuation reflects balanced risk-reward relative to sector peers.""}, {""model"": ""Simulated-AI-Quality-Compounder"", ""call"": ""buy"", ""target_price"": 350.91, ""thesis"": ""Stable financial profile and durable competitive moat support long-term compounding potential.""}, {""model"": ""Simulated-AI-Macro-Tactical"", ""call"": ""hold"", ""target_price"": 316.5, ""thesis"": ""Balanced near-term catalysts recommend maintaining current position.""}]"
